"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"ESP32RightSide1","1","ESP 32 RS","","","","Espressif:ESP32-DEVKITV1-Paul-Half",""
"MPU1","1","4 Pin Connector","","","","Connector_PinHeader_1.00mm:PinHeader_1x04_P1.00mm_Vertical","MPU6050"
"SDCardBoard1","1","SPISDCard","","","","Connector_PinHeader_1.00mm:PinHeader_1x06_P1.00mm_Vertical",""
