"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"AdaGPS1","1","~","","","","UserDefined:Adafruit GPS PA1010D",""
"AdaLPS1","1","~","","","","UserDefined:LPS22",""
"AdaSHT1","1","~","","","","UserDefined:SHTBoard",""
"ESP32RightSide1","1","ESP 32 RS","","","","UserDefined:ESP32-DEVKITV1-Paul-Half2",""
"MPU1","1","4 Pin Connector","","","","UserDefined:MPU6050HiLetGO","MPU6050"
"SDCardBoard1","1","SPISDCard","","","","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical",""
